group,metric,N,kf_median,interp_median,delta_median,kf_mean,interp_mean,kf_p25,kf_p75,interp_p25,interp_p75,win_rate,tie_rate
low,corr,28,0.323209744027138,0.186914527899435,0.136295216127704,0.364255107843242,0.272256000681704,0.205803077425576,0.531622913005599,0.0388407489124152,0.625408734320767,0.607142857142857,0
low,NSE,28,0.0875307754679329,0.0091464109354995,0.0783843645324334,-0.0983320118497943,-0.958937639234361,-0.0357813309485102,0.176770440604327,-0.254799470199039,0.137304819241076,0.678571428571429,0
low,rRMSE,28,95.5193445782755,99.5389745539995,-4.01962997572403,102.009160282365,122.199052830211,90.7304523255726,101.771373541918,92.8470446921397,112.006793229397,0.678571428571429,0
low,rB,28,20.208817434029,21.237848767216,-1.02903133318697,52.229015886159,60.0862162687028,6.43375108896466,32.7847455457327,6.52879642050593,36.2897845632063,0.428571428571429,0
mid,corr,287,0.559549669398003,0.503536159663487,0.0560135097345155,0.540803151075952,0.460495668464717,0.407487027365218,0.698192866306088,0.315981482720601,0.653535502785553,0.696864111498258,0
mid,NSE,287,0.227825391591418,0.161334855162456,0.066490536428962,0.00478997675073121,-162.051530818571,0.115617074585408,0.341635042613855,-0.00213496785666001,0.346194715072793,0.616724738675958,0
mid,rRMSE,287,87.8734663256538,91.5786626260476,-3.70519630039374,91.310797842034,180.541326078787,81.1396816069605,94.0416345477037,80.8581105314268,100.106689577518,0.616724738675958,0
mid,rB,287,13.6649943773438,15.4224681121413,-1.75747373479748,46.3536717424642,199.304163856336,6.13314180475579,27.7236300206104,7.01641732574085,32.6604737636772,0.501742160278746,0
high,corr,28,0.699431683528783,0.645798206512014,0.0536334770167697,0.648838487680837,0.580059682613458,0.528281823537826,0.797200827609001,0.487228950566019,0.742152189843005,0.607142857142857,0
high,NSE,28,0.320036771748434,0.305690489242789,0.014346282505645,0.356830047086289,-0.590770608322966,0.191786914269727,0.546221408374476,0.149878223876563,0.464215721318033,0.607142857142857,0
high,rRMSE,28,82.454528619127,83.3105923960894,-0.856063776962372,78.4928698913615,103.151918079893,67.3345373641549,89.8984541620639,73.1963754584905,92.20100460758,0.607142857142857,0
high,rB,28,11.736557745388,14.6921260527254,-2.9555683073374,23.7886044582719,30.6854904698597,7.24715236299927,26.7545286022995,5.91703402246462,42.1479563570769,0.5,0
